# t x0 y0 vx0 vy0 x1 y1 vx1 vy1 x2 y2 vx2 vy2 E Px Py r_probe_earth perigee
3.3000000000e+03 1.8073523050e+02 5.2857202250e-01 1.0953580760e-01 4.8051883603e-04 3.8438531296e+08 3.3725570468e+06 -8.9011816979e+00 1.0219609517e+03 3.1414242428e+08 3.9598925246e+06 -1.0045684085e+01 1.1999022977e+03 -3.7819715772e+28 3.1268041695e+07 7.5106780000e+25 3.1416720059e+08 3.0778800000e+08
3.6000000000e+03 2.1508960141e+02 6.8622976181e-01 1.1949331975e-01 5.7185645734e-04 3.8438252123e+08 3.6791442351e+06 -9.7103565867e+00 1.0219535294e+03 3.1413927360e+08 4.3198604688e+06 -1.0958842804e+01 1.1998837276e+03 -3.7819715772e+28 3.1360296174e+07 7.5106780000e+25 3.1416875922e+08 3.0778800000e+08
3.9000000000e+03 2.5243121483e+02 8.7248011284e-01 1.2945075663e-01 6.7113623782e-04 3.8437948674e+08 3.9857290999e+06 -1.0519525359e+01 1.0219454616e+03 3.1413584898e+08 4.6798225997e+06 -1.1871979276e+01 1.1998635433e+03 -3.7819715772e+28 5.0616880636e+07 7.5106780000e+25 3.1417045334e+08 3.0778800000e+08
4.2000000000e+03 2.9276004723e+02 1.0897057144e+00 1.3940811197e-01 7.7835811679e-04 3.8437620951e+08 4.2923114475e+06 -1.1328687504e+01 1.0219367485e+03 3.1413215042e+08 5.0397784333e+06 -1.2785091645e+01 1.1998417449e+03 -3.7819715772e+28 6.0636010285e+07 7.5106780000e+25 3.1417228291e+08 3.0778800000e+08
4.5000000000e+03 3.3607607323e+02 1.3402891862e+00 1.4936537949e-01 8.9352202872e-04 3.8437268953e+08 4.5988910844e+06 -1.2137842514e+01 1.0219273899e+03 3.1412817793e+08 5.3997274853e+06 -1.3698178059e+01 1.1998183324e+03 -3.7819715772e+28 1.0182583568e+08 7.5106780000e+25 3.1417424794e+08 3.0778800000e+08
4.8000000000e+03 3.8237926552e+02 1.6266131279e+00 1.5932255293e-01 1.0166279032e-03 3.8436892681e+08 4.9054678169e+06 -1.2946989878e+01 1.0219173860e+03 3.1412393151e+08 5.7596692714e+06 -1.4611236663e+01 1.1997933062e+03 -3.7819715772e+28 8.7859877549e+07 7.5106780000e+25 3.1417634840e+08 3.0778800000e+08
5.1000000000e+03 4.3166959495e+02 1.9510601169e+00 1.6927962601e-01 1.1476756651e-03 3.8436492134e+08 5.2120414515e+06 -1.3756129086e+01 1.0219067367e+03 3.1411941119e+08 6.1196033076e+06 -1.5524265605e+01 1.1997666663e+03 -3.7819715772e+28 1.7658540403e+06 7.5106780000e+25 3.1417858427e+08 3.0778800000e+08
5.4000000000e+03 4.8394703046e+02 2.3160127077e+00 1.7923659245e-01 1.2866652342e-03 3.8436067313e+08 5.5186117944e+06 -1.4565259629e+01 1.0218954420e+03 3.1411461696e+08 6.4795291098e+06 -1.6437263030e+01 1.1997384129e+03 -3.7819715772e+28 2.2623223590e+08 7.5106780000e+25 3.1418095554e+08 3.0778800000e+08
5.7000000000e+03 5.3921153913e+02 2.7238534297e+00 1.8919344599e-01 1.4335965257e-03 3.8435618218e+08 5.8251786522e+06 -1.5374380997e+01 1.0218835020e+03 3.1410954883e+08 6.8394461940e+06 -1.7350227086e+01 1.1997085462e+03 -3.7819715772e+28 2.8901491280e+08 7.5106780000e+25 3.1418346219e+08 3.0778800000e+08
6.0000000000e+03 5.9746308614e+02 3.1769647864e+00 1.9915018036e-01 1.5884694497e-03 3.8435144850e+08 6.1317418311e+06 -1.6183492681e+01 1.0218709166e+03 3.1410420682e+08 7.1993540762e+06 -1.8263155920e+01 1.1996770663e+03 -3.7819715772e+28 1.2174805296e+08 7.5106780000e+25 3.1418610419e+08 3.0778800000e+08
