# t x0 y0 vx0 vy0 x1 y1 vx1 vy1 x2 y2 vx2 vy2 E Px Py r_probe_earth altitude_probe perigee dt_used a_probe P_drag
0 0 0 0 0 384748000 0 0 1022 314159000 0 0 1200 -3.77441165071147e+28 0 7.5093494e+25 314159000 307780900 307780900 64 0.00305422308031494 0
640 6.78445123322386 0.00384457212009956 0.0212014050386516 1.80214301323104e-05 384747448.579246 654079.687524195 -1.72318944555204 1021.9985352698 314158374.495592 767999.21762515 -1.95469977730167 1199.99633262152 -3.77441165071147e+28 30750545.6742537 7.5093494e+25 314159306.44455 307781206.44455 307780900 64 0.00305423054748899 0
1280 27.1377854826365 0.0307565640550216 0.0424027492952576 7.20856701173636e-05 384745794.318564 1308157.50019461 -3.44637395091359 1021.99414108331 314156497.988118 1535993.74102909 -3.90938159005471 1199.98533059505 -3.77441165071147e+28 22611474.5242568 7.5093494e+25 314160225.766747 307782125.766747 307780900 64 0.00305425294693134 0
1920 61.0599443975129 0.10380333109241 0.0636039719879336 0.000162192568719646 384743037.222696 1962231.56316271 -5.16954857590728 1021.9868174528 314153370.494822 2303978.87613009 -5.8640274739642 1199.96699424746 -3.77441165071147e+28 94613485.9568746 7.5093494e+25 314161757.93223 307783657.93223 307780900 64 0.00305429027240363 0
2560 108.550830726817 0.246052099465707 0.0848050123351187 0.000288341873880365 384739177.299548 2616300.00159046 -6.892708380382 1021.97656439878 314148992.044448 3071949.92912533 -7.81861946524277 1199.9413241235 -3.77441165071147e+28 39473258.2019689 7.5093494e+25 314163902.883736 307785802.883736 307780900 64 0.00305434251351175 0
3200 169.610308319459 0.48056990182743 0.106005809555736 0.000450533232718049 384734214.560185 3270360.94065553 -8.61584842422603 1021.96338194992 314143362.677235 3839902.20663034 -9.77313960086468 1199.90832098571 -3.77441165071147e+28 143361513.265044 7.5093494e+25 314166660.541106 307788560.541106 307780900 64 0.00305440965571054 0
3840 244.23820212466 0.830423512722914 0.127206302869356 0.000648766191529385 384728149.018835 3924412.5055566 -10.3389637673801 1021.94727014309 314136482.44492 4607831.01581833 -11.7275699188204 1199.86798581432 -3.77441165071147e+28 213137625.564681 7.5093494e+25 314170030.801293 307791930.801293 307780900 64 0.00305449168031051 0
4480 332.434298192415 1.31867938406467 0.148406431496354 0.000883040195790291 384720980.692886 4578452.82151855 -12.0620494698508 1021.92822902338 314128351.410732 5375731.66455949 -13.6818924583717 1199.8203198071 -3.77441165071147e+28 140301045.809869 7.5093494e+25 314174013.538374 307795913.538374 307780900 64 0.00305458856448629 0
5120 434.19834367406 1.96840358060748 0.169606134658078 0.00115335459015723 384712709.60289 5232480.01379774 -13.7851005917231 1021.90625864403 314118969.649397 6143599.46156013 -15.6360892603071 1199.76532437922 -3.77441165071147e+28 166649193.38873 7.5093494e+25 314178608.603566 307800508.603566 307780900 64 0.00305470028128707 0
5760 549.530046822948 2.80266171542447 0.190805351577003 0.00145970861846878 384703335.77256 5886492.20768724 -15.5081121931742 1021.88135906652 314108337.247134 6911429.71650184 -17.5901423671991 1199.70300116305 -3.77441165071147e+28 -43238777.1972062 7.5093494e+25 314183815.825239 307805715.825239 307780900 64 0.00305482679964886 0
6400 678.429076995221 3.84451888538417 0.2120040214769 0.00180210142374739 384692859.228768 6540487.52852208 -17.2310793344863 1021.85353036049 314096454.301653 7679217.74018032 -19.5440338236609 1199.63335200792 -3.77441165071147e+28 17443851.8455761 7.5093494e+25 314189635.00894 307811535.00894 307780900 64 0.0030549680844086 0
7040 820.89506465069 5.11703960662888 0.233202083582991 0.00218053204820146 384681280.00155 7194464.10168446 -18.9539970760595 1021.82277260378 314083320.922155 8446958.84464423 -21.4977456766056 1199.55637897989 -3.77441165071147e+28 -118833708.264392 7.5093494e+25 314196065.937407 307817965.937407 307780900 64 0.00305512409632018 0
