# t x0 y0 vx0 vy0 x1 y1 vx1 vy1 x2 y2 vx2 vy2 E Px Py r_probe_earth altitude_probe perigee dt_used a_probe P_drag
0 0 0 0 0 384748000 0 0 1022 314159000 0 0 1200 -3.77441165071147e+28 0 7.5093494e+25 314159000 307780900 307780900 1024 0.00305422308031494 0
10240 1736.71370865861 15.7468058249809 0.339181150211381 0.00461321187871857 384606844.886589 10464000.1447475 -27.5676719117869 1021.62505135839 313998902.140611 12284796.6055515 -31.2629827241127 1199.0617431897 -3.77441165071147e+28 -533115856.735232 7.5093494e+25 314237387.554181 307859287.554181 307780900 1024 0.00305612340612581 0
20480 6945.58028642159 125.960914888201 0.678113379337906 0.0184495440550051 384183483.137982 20920322.2577989 -55.1151122311196 1020.5004739293 313518985.078372 24550401.9731251 -62.45244979616 1196.25407232646 -3.77441165071147e+28 199007136.364808 7.5093494e+25 314471803.12792 308093703.12792 307780900 1024 0.0030616906882476 0
30720 15622.7769557096 425.041982415454 1.01654793563571 0.0414990881548145 383478225.458586 31361293.8056945 -82.6221031290945 1018.627073037 312720376.953688 36777769.4210084 -93.4951633243222 1191.59803988421 -3.77441165071147e+28 -1057908345.66613 7.5093494e+25 314860026.590078 308481926.590078 307780900 1024 0.00307053899448996 0
40960 27761.9353103606 1007.25440868091 1.35423640596639 0.073745336906426 382491589.454203 41779253.2481097 -110.068454297689 1016.00619034521 311604953.136785 48948136.4087925 -124.31847391088 1185.12793340308 -3.77441165071148e+28 -778249545.901634 7.5093494e+25 315398426.643914 309020326.643914 307780900 1024 0.00308207272343228 0
51200 43354.1456489627 1966.65981421078 1.69093088490833 0.115165194167344 381224299.279834 52166555.5260766 -137.434016694647 1012.63970304221 310175328.371026 61043154.595594 -154.850689193549 1176.89014529447 -3.77441165071148e+28 -310660040.941873 7.5093494e+25 316082059.063056 309703959.063056 307780900 1024 0.00309554876307285 0
61440 62387.9630387767 3397.04963819194 2.02638414363821 0.165728988960683 379677285.146813 62515577.5401924 -164.698696269681 1008.53002269999 308434844.793754 73045006.5826779 -185.02151088834 1166.94171891418 -3.77441165071148e+28 -3625345142.83834 7.5093494e+25 316904794.62291 310526694.62291 307780900 1024 0.00311014769651214 0
71680 84849.4151074992 5391.87790113631 2.36034979850554 0.22540049351974 377851682.689522 72818723.6154772 -191.842467665733 1003.68009380759 306387555.14923 84936506.5564057 -214.762534447701 1155.34867624927 -3.77441165071147e+28 -746810784.349264 7.5093494e+25 317859468.602994 311481368.602994 307780900 1024 0.00312504346256419 0
81920 110722.011559328 8044.19417283651 2.69258247922318 0.294136945339039 375748832.191947 83068430.9495464 -218.84538788901 998.093391978923 304038200.648881 96701183.153932 -244.007790275831 1142.18423581808 -3.77441165071147e+28 4616164764.72202 7.5093494e+25 318938043.18822 312559943.18822 307780900 1024 0.0031394630368953 0
92160 139986.755411001 11446.5767866283 3.02283799659588 0.371889073229703 373370277.674449 93257175.0407646 -245.687609941486 991.773921835027 301392183.209313 108323343.951406 -272.694294728173 1127.52702089315 -3.77441165071147e+28 532707639.956516 7.5093494e+25 320131774.40109 313753674.40109 307780900 1024 0.00315273103419294 0
102400 172622.155942678 15691.0663409512 3.35087350970896 0.458601127376529 370717765.841152 103377475.093047 -272.349396409515 984.72621456112 298455532.153227 119788121.918897 -300.762574439269 1111.45934135029 -3.77441165071147e+28 -1247506421.08123 7.5093494e+25 321431376.173482 315053276.173482 307780900 1024 0.00316429755850521 0
112640 208604.243357732 20869.0995291693 3.6764476924983 0.55421091339364 367793244.888436 113421899.393985 -298.811133002162 976.955325138659 295234865.829617 131081504.933243 -328.157128860562 1094.06561134628 -3.77441165071148e+28 807947061.015371 7.5093494e+25 322827175.576502 316449075.576502 307780900 1024 0.00317375037346897 0
122880 247906.585144715 27071.4433385792 3.99932089962251 0.658649830375014 364598863.175085 123383070.662956 -325.053342032822 968.466829252697 291737348.941249 142190349.964916 -354.826802003601 1075.43094330004 -3.77441165071148e+28 201387624.709695 7.5093494e+25 324309254.824891 317931154.824891 307780900 1024 0.00318081418862829 0
133120 290500.304133938 34388.1296594904 4.31925533155727 0.771842912935596 361136967.7547 133253671.365918 -351.056695837609 959.266819874909 287970646.619928 153102383.866284 -380.72504338635 1055.63993901112 -3.77441165071148e+28 -1508789154.43168 7.5093494e+25 325867577.25049 319489477.25049 307780900 1024 0.00318534058839078 0
143360 336354.098240299 42908.3903452186 4.63601519883134 0.893708877238007 357410102.771056 143026448.99354 -376.802030123995 949.361903522662 283942876.444065 163806192.816651 -405.810048119392 1034.77568276585 -3.77441165071148e+28 -1030068829.15906 7.5093494e+25 327492095.84841 321113995.84841 307780900 1024 0.00318729210049875 0
153600 385434.261883132 52720.592763774 4.94936688532272 1.02416017099917 353421007.717162 152694221.299383 -402.270357243046 938.759196194633 279662559.647468 174291202.465233 -430.044775344197 1012.91892950501 -3.77441165071148e+28 944482153.503103 7.5093494e+25 329172844.154645 322794744.154645 307780900 1024 0.00318672340633405 0
163840 437704.70907306 63912.1758819674 5.25907911053278 1.16310302747031 349172615.558823 162249881.494793 -427.442879378605 927.466318983456 275138572.735915 184547650.699343 -453.396851794511 990.147473363775 -3.77441165071148e+28 8814683469.89487 7.50934940000001e+25 330900010.08506 324521910.08506 307780900 1024 0.0031837619967534 0
173056 487444.080202283 75235.4413209625 5.53451922992108 1.29532942405308 345129942.009499 170748310.928525 -449.829862965128 916.719336384924 270866232.255029 193575594.35696 -473.635902880242 968.932629622105 -3.77441165071148e+28 3067544708.93055 7.50934940000001e+25 332486207.225757 326108107.225757 307780900 1024 0.00317920051392233 0
