# t x0 y0 vx0 vy0 x1 y1 vx1 vy1 x2 y2 vx2 vy2 E Px Py r_probe_earth altitude_probe perigee dt_used a_probe P_drag
0 0 0 0 0 384748000 0 0 1022 314159000 0 0 1200 -3.77441165071147e+28 0 7.5093494e+25 314159000 307780900 307780900 32 0.00305422308031494 0
320 1.69611311221636 0.000480571565419141 0.0106007063182056 4.50535832076342e-06 384747862.144787 327039.96094052 -0.861595031538082 1021.99963381739 314158843.623808 383999.902203035 -0.977351011438097 1199.99908315368 -3.77441165071147e+28 2516192.25810065 7.5093494e+25 314159076.611317 307780976.611317 307780900 32 0.00305422494714095 0
640 6.78445123322386 0.00384457212004758 0.0212014050386516 1.80214301323104e-05 384747448.579246 654079.687524195 -1.72318944555204 1021.9985352698 314158374.495592 767999.21762515 -1.95469977730167 1199.99633262152 -3.77441165071147e+28 -18194968.6339759 7.5093494e+25 314159306.44455 307781206.44455 307780900 32 0.00305423054748899 0
960 15.2650107160986 0.0129754286366191 0.0318020885635838 4.05482059824128e-05 384746759.303673 981118.945394343 -2.58478262451818 1021.99670435802 314157592.61643 1151997.35948978 -2.93204405202412 1199.99174842396 -3.77441165071147e+28 -38657027.9515202 7.5093494e+25 314159689.497554 307781589.497554 307780900 32 0.00305423988096908 0
1280 27.1377854826365 0.0307565640549176 0.0424027492952576 7.20856701173636e-05 384745794.318564 1308157.50019461 -3.4463739509136 1021.99414108331 314156497.988118 1535993.74102909 -3.90938159005471 1199.98533059505 -3.77441165071147e+28 -39876943.8365085 7.5093494e+25 314160225.766747 307782125.766747 307780900 32 0.00305425294693134 0
1600 42.402767023358 0.0600713952653054 0.0530033796359439 0.000112633800481986 384744553.624608 1635195.11756914 -4.30796280721664 1021.99084544747 314155090.61317 1919987.77548831 -4.88671014586648 1199.97707918245 -3.77441165071147e+28 -90238561.7834811 7.5093494e+25 314160915.24712 307782815.24712 307780900 32 0.00305426974446602 0
1920 61.0599443975129 0.103803331092255 0.0636039719879336 0.000162192568719646 384743037.222696 1962231.56316271 -5.16954857590729 1021.9868174528 314153370.494822 2303978.87613009 -5.8640274739642 1199.96699424746 -3.77441165071147e+28 -97472214.7646559 7.5093494e+25 314161757.93223 307783657.93223 307780900 32 0.00305429027240363 0
2240 83.1093042330882 0.164835770277883 0.0742045187535431 0.00022076194017227 384741245.113915 2289266.60262095 -6.03113063946758 1021.98205710213 314151337.637024 2687966.4562389 -6.84133132889229 1199.95507586497 -3.77441165071147e+28 -101191591.86643 7.5093494e+25 314162753.814204 307784653.814204 307780900 32 0.00305431452931506 0
2560 108.550830726817 0.246052099465499 0.0848050123351187 0.000288341873880365 384739177.299548 2616300.00159046 -6.89270838038201 1021.97656439878 314148992.044448 3071949.92912533 -7.81861946524276 1199.9413241235 -3.77441165071147e+28 -83655400.2638678 7.5093494e+25 314163902.883736 307785802.883736 307780900 32 0.00305434251351174 0
2880 137.384505644188 0.350335691183148 0.0954054451350423 0.000364932322583043 384736833.781078 2943331.52571896 -7.75428118113795 1021.97033934659 314146333.722483 3455928.70813049 -8.7958896376632 1199.92573912517 -3.77441165071147e+28 -155172313.962278 7.5093494e+25 314165205.130092 307787105.130092 307780900 32 0.00305437422304585 0
3200 169.610308319459 0.48056990182717 0.106005809555736 0.00045053323271805 384734214.560185 3270360.94065553 -8.61584842422604 1021.96338194992 314143362.677236 3839902.20663034 -9.77313960086467 1199.90832098571 -3.77441165071147e+28 -237113531.666629 7.5093494e+25 314166660.541106 307788560.541106 307780900 32 0.00305440965571053 0
3520 205.228215655671 0.639638069645773 0.116606097999668 0.000545144544421794 384731319.638746 3597388.01205068 -9.47740949214063 1021.95569221363 314140078.915533 4223869.83804004 -10.7503671096297 1199.88906983445 -3.77441165071147e+28 -171604835.97499 7.5093494e+25 314168269.103182 307790169.103182 307780900 32 0.00305444880904012 0
3840 244.23820212466 0.830423512722603 0.127206302869356 0.000648766191529386 384728149.018835 3924412.5055566 -10.3389637673802 1021.9472701431 314136482.44492 4607831.01581833 -11.7275699188204 1199.86798581432 -3.77441165071147e+28 -163641062.855604 7.5093494e+25 314170030.801293 307791930.801293 307780900 32 0.00305449168031049 0
4160 286.64023976708 1.05580952696034 0.137806416567373 0.000761398101574675 384724702.702725 4251434.18682724 -11.2005106324476 1021.93811574421 314132573.273659 4991785.15347184 -12.7047457833861 1199.84506908183 -3.77441165071147e+28 -40541067.9086544 7.5093494e+25 314171945.618985 307793845.618985 307780900 32 0.00305453826653927 0
4480 332.434298192415 1.3186793840643 0.148406431496354 0.000883040195790292 384720980.692886 4578452.82151855 -12.0620494698508 1021.92822902338 314128351.410733 5375731.66455948 -13.6818924583716 1199.8203198071 -3.77441165071147e+28 20868743.85542 7.5093494e+25 314174013.538374 307795913.538374 307780900 32 0.00305458856448627 0
4800 381.620344579004 1.62191632952606 0.159006340058999 0.0010136923891077 384716982.991986 4905468.17528859 -12.923579662103 1021.91760998751 314123816.865839 5759669.96269676 -14.6590076989254 1199.79373817381 -3.77441165071147e+28 79677316.1465032 7.5093494e+25 314176234.540148 307798134.540148 307780900 32 0.00305464257065379 0
5120 434.19834367406 1.96840358060707 0.169606134658078 0.00115335459015723 384712709.60289 5232480.01379774 -13.7851005917231 1021.90625864403 314118969.649398 6143599.46156013 -15.6360892603071 1199.76532437922 -3.77441165071147e+28 -221218564.565719 7.5093494e+25 314178608.603566 307800508.603566 307780900 32 0.00305470028128705 0
5440 490.168257793696 2.36102432432231 0.180205807696437 0.00130202670126817 384708160.528661 5559488.10270881 -14.6466116412363 1021.89417500089 314113809.772544 6527519.57489136 -16.613134897896 1199.73507863417 -3.77441165071147e+28 290967691.635762 7.5093494e+25 314181135.706462 307803035.706462 307780900 32 0.00305476169237462 0
5760 549.530046822948 2.802661715424 0.190805351577004 0.00145970861846878 384703335.77256 5886492.20768724 -15.5081121931743 1021.88135906652 314108337.247134 6911429.71650184 -17.5901423671991 1199.70300116305 -3.77441165071147e+28 501024847.825569 7.5093494e+25 314183815.82524 307805715.82524 307780900 32 0.00305482679964884 0
6080 612.283668215802 3.29619887438522 0.20140475870279 0.00162640023148637 384698235.338043 6213492.09440127 -16.3696016300756 1021.86781084989 314102552.08574 7295329.30027694 -18.5671094238586 1199.66909220381 -3.77441165071147e+28 234861376.74126 7.5093494e+25 314186648.934881 307808548.934881 307780900 32 0.00305489559858635 0
6400 678.429076995222 3.84451888538365 0.2120040214769 0.00180210142374739 384692859.228768 6540487.52852207 -17.2310793344863 1021.85353036049 314096454.301653 7679217.74018032 -19.5440338236609 1199.63335200792 -3.77441165071147e+28 -221420752.063322 7.5093494e+25 314189635.00894 307811535.00894 307780900 32 0.00305496808440857 0
6720 747.96622575318 4.45050479428532 0.222603132302534 0.00198681207237746 384687207.448587 6867478.27572395 -18.0925446889602 1021.83851760828 314090043.908883 8063094.45025832 -20.5209133225438 1199.59578084043 -3.77441165071147e+28 46458215.8669853 7.5093494e+25 314192774.019547 307814674.019547 307780900 32 0.00305504425208229 0
7040 820.895064650691 5.11703960662832 0.233202083582991 0.00218053204820146 384681280.00155 7194464.10168446 -18.9539970760595 1021.82277260378 314083320.922156 8446958.84464422 -21.4977456766055 1199.55637897988 -3.77441165071147e+28 -111440995.241616 7.5093494e+25 314196065.937408 307817965.937408 307780900 32 0.00305512409632016 0
7360 897.215541417838 5.84700628560659 0.243800867721678 0.00238326121574362 384675076.891907 7521444.77208463 -19.8154358783546 1021.806295358 314076285.356918 8830810.33756262 -22.4745286421119 1199.51514671835 -3.77441165071147e+28 341833677.954004 7.5093494e+25 314199510.731807 307821410.731807 307780900 32 0.00305520761158136 0
7680 976.927601353817 6.64328775005376 0.254399477122113 0.00259499943322757 384668598.124103 7848420.05260907 -20.6768604784253 1021.78908588245 314068937.229332 9214648.34333375 -23.4512599755054 1199.47208436142 -3.77441165071147e+28 290152521.669751 7.5093494e+25 314203108.370604 307825008.370604 307780900 32 0.00305529479207223 0
8000 1060.03118732696 7.50876687242691 0.264997904187929 0.00281574655257647 384661843.702782 8175389.70894617 -21.5382702588607 1021.77114418917 314061276.55628 9598472.27637774 -24.4279374334129 1199.42719222816 -3.77441165071147e+28 289434197.681822 7.5093494e+25 314206858.820242 307828758.820242 307780900 32 0.00305538563174687 0
8320 1146.5262397748 8.44632647679046 0.275596141322881 0.00304550241941303 384654813.632784 8502353.50678825 -22.3996646022598 1021.75247029072 314053303.355361 9982281.55121905 -25.4045587726538 1199.38047065113 -3.77441165071147e+28 413268733.78647 7.5093494e+25 314210762.045738 307832662.045738 307780900 32 0.00305548012430786 0
8640 1236.41269670406 9.45884933680006 0.286194180930849 0.00328426687305968 384647507.919148 8829311.21183174 -23.2610428912317 1021.73306420015 314045017.644891 10366075.5824907 -26.3811217502485 1199.33191997637 -3.77441165071148e+28 1132650373.5103 7.5093494e+25 314214818.010695 307836718.010695 307780900 32 0.00305557826320699 0
8960 1329.69049369076 10.5492181736865 0.296792015415847 0.00353203974653859 384639926.567112 9156262.5897773 -24.1224045083963 1021.71292593102 314036419.443905 10749853.7849385 -27.3576241234268 1199.28154056339 -3.77441165071148e+28 728227636.888904 7.5093494e+25 314219026.677294 307840926.677294 307780900 32 0.00305568004164596 0
9280 1426.3595638802 11.7203156542396 0.307389637182022 0.00378882086657184 384632069.582107 9483207.40633005 -24.9837488363847 1021.69205549743 314027508.772156 11133615.5734256 -28.3340636496357 1199.22933278513 -3.77441165071148e+28 622548226.835486 7.5093494e+25 314223388.0063 307845288.0063 307780900 32 0.00305578545257719 0
9600 1526.41983798703 12.9750243887924 0.317987038633664 0.00405461005358145 384623936.969766 9810145.42719967 -25.8450752578391 1021.67045291397 314018285.650112 11517360.3629365 -29.3104380865482 1199.17529702799 -3.77441165071148e+28 368997272.89675 7.5093494e+25 314227901.957063 307849801.957063 307780900 32 0.00305589448870457 0
9920 1629.87124429533 14.3162269292047 0.32858421217521 0.00432940712168957 384615528.735918 10137076.4181006 -26.7063831554139 1021.64811819575 314008750.098962 11901087.5685817 -30.2867451920715 1199.11943369177 -3.77441165071148e+28 940056571.940394 7.5093494e+25 314232568.487518 307854468.487518 307780900 32 0.00305600714248433 0
10240 1736.71370865858 15.7468057668476 0.339181150211246 0.0046132118787185 384606844.886589 10464000.1447522 -27.5676719117759 1021.62505135839 313998902.140611 12284796.6056015 -31.2629827243553 1199.06174318971 -3.77441165071148e+28 753021090.79709 7.5093494e+25 314237387.554183 307859287.554183 307780900 32 0.00305612340612585 0
10560 1846.94715449978 17.2696433305875 0.349777845146516 0.00490602412619087 384597885.428002 10790916.372879 -28.4289409096043 1021.60125241801 313988741.797679 12668486.8893708 -32.2391484418002 1199.00222594843 -3.77441165071148e+28 494943812.720239 7.5093494e+25 314242359.112167 307864259.112167 307780900 32 0.00305624327159258 0
10880 1960.57150281146 18.88762198477 0.360374289385927 0.00520784365932974 384588650.36658 11117824.8682106 -29.2901895315916 1021.57672139127 313978269.093507 13052157.8354032 -33.2152401030664 1198.94088240793 -3.77441165071147e+28 1056971284.11905 7.5093494e+25 314247483.115167 307869383.115167 307780900 32 0.00305636673060289 0
11200 2077.58667215575 20.6036240272039 0.370970475334551 0.00551867026705871 384579139.708941 11444725.396482 -30.1514171604439 1021.55145829532 313967484.052152 13435808.859355 -34.1912554670818 1198.87771302159 -3.77441165071147e+28 1170672853.20051 7.5093494e+25 314252759.515468 307874659.515468 307780900 32 0.00305649377463105 0
11520 2197.99257866445 22.4205316871461 0.38156639539763 0.00583850373200205 384569353.461903 11771617.7234341 -31.0126231788811 1021.52546314782 313956386.698386 13819439.3770299 -35.1671922930508 1198.81271825613 -3.77441165071147e+28 964735366.656878 7.5093494e+25 314258188.263948 307880088.263948 307780900 32 0.00305662439490818 0
11840 2321.78913603902 24.3412271232852 0.392162041980585 0.00616734383048484 384559291.632478 12098501.6148131 -31.8738069696375 1021.49873596696 313944977.0577 14203048.804383 -36.1430483404628 1198.74589859161 -3.77441165071147e+28 1123192588.03439 7.5093494e+25 314263769.310077 307885669.310077 307780900 32 0.0030567585824232 0
12160 2448.97625555074 26.3685924217258 0.402757407489018 0.00650519033253308 384548954.227879 12425376.8363714 -32.7349679154622 1021.47127677143 313933255.156303 14586636.5575252 -37.1188213691007 1198.67725452141 -3.77441165071147e+28 1445344212.73961 7.5093494e+25 314269502.60192 307891402.60192 307780900 32 0.00305689632792387 0
12480 2579.55384604066 28.5055095939733 0.413352484328718 0.00685204300187386 384538341.255515 12752243.1538673 -33.5961053991195 1021.44308558042 313921221.021118 14970202.0527274 -38.0945091390495 1198.60678655222 -3.77441165071147e+28 831469793.476404 7.5093494e+25 314275388.086136 307897288.086136 307780900 32 0.00305703762191784 0
12800 2713.52181391976 30.7548605749177 0.423947264905666 0.00720790159593547 384527452.722992 13079100.3330654 -34.4572188033893 1021.41416241367 313908874.679787 15353744.7064248 -39.0701094107051 1198.534495204 -3.77441165071147e+28 250903533.774067 7.5093494e+25 314281425.707982 307903325.707982 307780900 32 0.00305718245467367 0
13120 2850.88006316892 33.1195272208184 0.434541741626038 0.00757276586584756 384516288.638115 13405948.1397368 -35.3183075110674 1021.38450729139 313896216.160668 15737263.935221 -40.0456199447828 1198.46038100999 -3.77441165071147e+28 393148952.674816 7.5093494e+25 314287615.411313 307909515.411313 307780900 32 0.00305733081622197 0
13440 2991.62849533907 35.6023913072886 0.445135906896214 0.00794663555644126 384504849.008885 13732786.3396589 -36.179370904966 1021.35412023432 313883245.492833 16120759.1558925 -41.0210385023264 1198.38444451669 -3.77441165071147e+28 429698938.535197 7.5093494e+25 314293957.138584 307915857.138584 307780900 32 0.00305748269635644 0
13760 3135.76700955118 38.2063345272795 0.45572975312278 0.00832951040624938 384493133.843502 14059614.6986159 -37.0404083679144 1021.32300126371 313869962.706076 16504229.7853928 -41.9963628447163 1198.30668628381 -3.77441165071147e+28 -352674024.423052 7.5093494e+25 314300450.830851 307922350.830851 307780900 32 0.0030576380846351 0
