# t x0 y0 vx0 vy0 x1 y1 vx1 vy1 x2 y2 vx2 vy2 E Px Py r_probe_earth altitude_probe perigee dt_used a_probe P_drag
0 0 0 0 0 384748000 0 0 1022 314159000 0 0 1200 -3.77441165071147e+28 0 7.5093494e+25 314159000 307780900 307780900 256 0.00305422308031494 0
2560 108.550830726817 0.24605209952226 0.0848050123351188 0.000288341873880365 384739177.299548 2616300.00159045 -6.89270838038202 1021.97656439878 314148992.044448 3071949.92912529 -7.81861946524254 1199.9413241235 -3.77441165071147e+28 -63325439.4512349 7.5093494e+25 314163902.883736 307785802.883736 307780900 256 0.00305434251351175 0
5120 434.19834367406 1.96840358072058 0.169606134658078 0.00115335459015723 384712709.60289 5232480.01379773 -13.7851005917231 1021.90625864403 314118969.649397 6143599.46156004 -15.6360892603067 1199.76532437922 -3.77441165071147e+28 -53733627.9632287 7.5093494e+25 314178608.603566 307800508.603566 307780900 256 0.00305470028128708 0
7680 976.927601353817 6.64328775022403 0.254399477122113 0.00259499943322757 384668598.124103 7848420.05260906 -20.6768604784253 1021.78908588245 314068937.229331 9214648.3433336 -23.4512599755049 1199.47208436142 -3.77441165071147e+28 625122394.874731 7.5093494e+25 314203108.370604 307825008.370604 307780900 256 0.00305529479207227 0
10240 1736.71370865858 15.7468057670746 0.339181150211246 0.00461321187871849 384606844.886589 10464000.1447522 -27.5676719117759 1021.62505135839 313998902.14061 12284796.6056013 -31.2629827243546 1199.06174318972 -3.77441165071147e+28 551120052.00207 7.5093494e+25 314237387.554182 307859287.554182 307780900 256 0.0030561234061259 0
12800 2713.52181391975 30.7548605752014 0.423947264905666 0.00720790159593548 384527452.722992 13079100.3330654 -34.4572188033893 1021.41416241367 313908874.679786 15353744.7064245 -39.0701094107043 1198.534495204 -3.77441165071147e+28 -226825674.043728 7.5093494e+25 314281425.707981 307903325.707981 307780900 256 0.00305718245467372 0
15360 3907.30711038952 53.1430908434153 0.508693932847098 0.0103789524512899 384430425.275076 15693600.6818662 -41.3451851186476 1021.15642848729 313798868.081239 18421193.6716163 -46.8714930023877 1197.89058953966 -3.77441165071147e+28 -1287482983.16381 7.5093494e+25 314335196.606439 307957096.606439 307780900 256 0.00305846726636878 0
17920 5318.01483814599 84.3868049154318 0.593417266504149 0.0141262225127057 384315766.993571 18307381.2823203 -48.2312548901395 1020.8518611151 313668898.514087 21486845.2343485 -54.6659878134231 1197.1303295854 -3.77441165071147e+28 -734517963.199036 7.5093494e+25 314398668.291277 308020568.291277 307780900 256 0.00305997220074411 0
20480 6945.58028642172 125.960914772429 0.678113379337636 0.0184495440550055 384183483.137982 20920322.2578083 -55.1151122310977 1020.5004739293 313518985.07837 24550401.9732238 -62.4524497966338 1196.25407232652 -3.77441165071147e+28 146068175.611655 7.5093494e+25 314471803.127925 308093703.127925 307780900 256 0.00306169068824795 0
23040 8789.92879635526 179.339870010645 0.762778385965884 0.0233487235662757 384033579.776368 23532303.7692924 -61.9964413488338 1020.10228265801 313349149.800467 27611567.4485236 -70.229736848406 1195.26222757727 -3.77441165071147e+28 1231730065.73307 7.5093494e+25 314554557.871596 308176457.871596 307780900 256 0.00306361527637696 0
25600 10850.975764166 245.997591836528 0.847408402329986 0.028823541755211 383866063.785081 26143206.0206807 -68.8749265581702 1019.65730512457 313159417.627719 30670046.336353 -77.9967091271061 1194.15525710618 -3.77441165071147e+28 2403895732.64771 7.5093494e+25 314646883.742702 308268783.742702 307780900 256 0.00306573768135819 0
28160 13128.6266447518 327.407407081936 0.931999545859034 0.0348737535594375 383680942.848477 28752909.2641903 -75.7502522948698 1019.16556124696 312949816.42221 33725544.5604145 -85.7522293864655 1192.933673659 -3.77441165071147e+28 1247010230.76694 7.5093494e+25 314748726.511286 308370626.511286 307780900 256 0.00306804884477526 0
30720 15622.7769557101 425.041982241901 1.01654793563531 0.0414990881548157 383478225.458586 31361293.8057086 -82.6221031290614 1018.627073037 312720376.953682 36777769.4211543 -93.4951633250082 1191.59803988433 -3.77441165071147e+28 2100991898.42977 7.5093494e+25 314860026.590088 308481926.590088 307780900 256 0.00307053899449072 0
33280 18333.312281781 540.37325753746 1.1010496925594 0.0486992489657217 383257920.914752 33968240.0101527 -89.4901637786617 1018.04186459949 312471132.89153 39826429.7220404 -101.224379952344 1190.14896716723 -3.77441165071147e+28 3944352565.03265 7.5093494e+25 314980719.13584 308602619.13584 307780900 256 0.00307319770918437 0
35840 21260.1082797136 674.872381006058 1.18550093951532 0.0564739136763081 383020039.323238 36573628.3068257 -96.3541191227933 1017.40996213135 312202120.79584 42871235.8927415 -108.938751972893 1188.58711437673 -3.77441165071147e+28 4427403455.83056 7.5093494e+25 315110734.158369 308732634.158369 307780900 256 0.00307601398580644 0
38400 24403.0306835551 830.009642622039 1.26989780153552 0.0648227342427429 382764591.596796 39177339.194772 -103.213654215198 1016.73139392058 311913380.107418 45911900.1089977 -116.637156187325 1186.91318653342 -3.77441165071147e+28 4244129252.35535 7.5093494e+25 315249996.637018 308871896.637018 307780900 256 0.00307897630923557 0
40960 27761.9353103616 1007.25440844971 1.35423640596585 0.0737453369064284 382491589.454203 41779253.2481286 -110.068454297645 1016.00619034521 311604953.136773 48948136.4089834 -124.318473911752 1185.12793340329 -3.77441165071147e+28 5833652294.1323 7.5093494e+25 315398426.643931 309020326.643931 307780900 256 0.00308207272343355 0
43520 31336.6680663317 1208.07505483151 1.43851288263048 0.0832413222081979 382201045.419762 44379251.1214741 -116.918204813332 1015.23438387213 311276885.051999 51979660.805983 -131.981591414398 1183.23214802463 -3.77441165071147e+28 4125140161.96002 7.5093494e+25 315555939.47368 309177839.47368 307780900 256 0.00308529090340123 0
46080 35127.0649533618 1433.93890261375 1.52272336399674 0.0933102650034913 381892972.822768 46977213.555175 -123.762591420288 1014.41600905588 310929223.865526 55006191.3972182 -139.625400369252 1181.22666517455 -3.77441165071147e+28 6079136624.2025 7.5093494e+25 315722445.778712 309344345.778712 307780900 256 0.00308861822726247 0
48640 39132.952076024 1686.31215141252 1.60686398533986 0.10395171447851 381567385.796943 49573021.3807282 -130.601300004758 1013.55110253732 310562020.419675 58027448.4686781 -147.248798325909 1179.11235978213 -3.77441165071147e+28 5685592541.09142 7.5093494e+25 315897851.710107 309519751.710107 307780900 256 0.00309204184783361 0
51200 43354.1456489644 1966.65981392211 1.69093088490765 0.115165194167347 381224299.279834 52166555.5261002 -137.434016694591 1012.63970304221 310175328.371007 61043154.5958268 -154.850689194575 1176.89014529478 -3.77441165071147e+28 2060625514.48347 7.5093494e+25 316082059.063082 309703959.063082 307780900 256 0.00309554876307467 0
53760 47790.4520047242 2276.4456502686 1.77492020408512 0.126950201970105 380863729.012178 54757697.0210624 -144.260427872618 1011.68185137981 309769204.1734 64053034.7400763 -162.429983744994 1174.56097200506 -3.77441165071148e+28 5378470773.52409 7.5093494e+25 316274965.426716 309896865.426716 307780900 256 0.00309912588486333 0
56320 52441.6676019812 2617.1321024111 1.85882808755896 0.139306210171975 380485691.537229 57346327.0025233 -151.08022019002 1010.67759044127 309343707.059835 67056816.3409324 -169.985600117809 1172.12582534434 -3.77441165071147e+28 5794707083.76193 7.5093494e+25 316476464.337344 310098364.337344 307780900 256 0.00310276010558278 0
58880 57307.5790342128 2990.18022859301 1.94265068348198 0.152232665463315 380090204.200058 59932326.7198558 -157.893080579697 1009.626965198 308898899.022866 70054229.4037371 -177.516464346703 1169.58572415027 -3.77441165071147e+28 5414554721.70155 7.5093494e+25 316686445.435083 310308345.435083 307780900 256 0.00310643836206837 0
61440 62387.9630387793 3397.04963784601 2.02638414363738 0.165728988960688 379677285.146813 62515577.5402206 -164.698696269614 1008.53002269998 308434844.793727 73045006.5829494 -185.021510889486 1166.94171891459 -3.77441165071147e+28 4444329361.51866 7.5093494e+25 316904794.622946 310526694.622946 307780900 256 0.00311014769651452 0
64000 67682.5865064282 3839.1984245491 2.11002462360301 0.179794576228888 379246953.323946 65095960.9538848 -171.496754796156 1007.386812074 307951611.820089 76028883.2609221 -192.499683166136 1164.19489001739 -3.77441165071147e+28 4965532046.21148 7.5093494e+25 317131394.22803 310753294.22803 307780900 256 0.00311387531400144 0
66560 73191.2064912187 4318.08310304535 2.19356828291546 0.194428797303944 378799228.477407 67673358.5795367 -178.286944017463 1006.1973845217 307449270.242414 79005597.6221476 -199.949934101709 1161.34634595434 -3.77441165071147e+28 8491070595.89988 7.5093494e+25 317366123.164247 310988023.164247 307780900 256 0.00311760863635936 0
69120 78913.5702208653 4835.15854231868 2.27701128523401 0.209630996717094 378334131.151803 70247652.1695942 -185.068952126754 1004.96179331771 306927892.868928 81974890.7229621 -207.371226671889 1158.39722156236 -3.77441165071147e+28 6220679480.55201 7.5093494e+25 317608857.096103 311230757.096103 307780900 256 0.00312133535214573 0
71680 84849.4151075026 5391.87790073338 2.36034979850457 0.225400493519745 377851682.689522 72818723.6155099 -191.842467665654 1003.68009380759 306387555.149194 84936506.5567125 -214.762534448933 1155.34867624977 -3.77441165071147e+28 16724802923.1173 7.5093494e+25 317859468.603041 311481368.603041 307780900 256 0.00312504346256708 0
74240 90998.468758868 5989.69256083873 2.44357999512337 0.241736581309407 377351905.229828 75386454.9530693 -198.607179537498 1002.3523434057 305828335.146284 87890192.1144032 -222.122842145679 1152.20189223579 -3.77441165071147e+28 18922070152.7185 7.5093494e+25 318117827.343878 311739727.343878 307780900 256 0.00312872132323059 0
76800 97360.4489899042 6630.05206424122 2.52669805210064 0.258638528256601 376834821.707913 77950728.3676845 -205.362777020632 1000.97860159304 305250313.507569 90835697.4408538 -229.451146155279 1148.95807280479 -3.77441165071147e+28 20373020641.1437 7.5093494e+25 318383800.220879 312005700.220879 307780900 256 0.00313235768166177 0
79360 103935.063834781 7314.40404654699 2.60970015122404 0.276105577132751 376300455.853923 80511426.1996819 -212.108949781699 999.558929914984 304653573.434133 93772775.6864112 -236.746455084335 1145.61844057963 -3.77441165071147e+28 27446538139.2024 7.5093494e+25 318657251.543056 312279151.543056 307780900 256 0.0031359417105714 0
