# t x0 y0 vx0 vy0 x1 y1 vx1 vy1 x2 y2 vx2 vy2 E Px Py r_probe_earth altitude_probe perigee dt_used a_probe P_drag
0 0 0 0 0 384748000 0 0 1022 314159000 0 0 1200 -3.77441165071147e+28 0 7.5093494e+25 314159000 307780900 307780900 512 0.00305422308031494 0
5120 434.198343674061 1.9684035824238 0.169606134658082 0.00115335459015723 384712709.60289 5232480.01379759 -13.7851005917235 1021.90625864403 314118969.649397 6143599.46155857 -15.6360892602995 1199.76532437922 -3.77441165071147e+28 82132345.1093501 7.5093494e+25 314178608.603566 307800508.603566 307780900 512 0.00305470028128707 0
10240 1736.71370865858 15.7468057704808 0.339181150211254 0.00461321187871849 384606844.886589 10464000.1447519 -27.5676719117766 1021.62505135839 313998902.14061 12284796.6055984 -31.2629827243404 1199.06174318971 -3.77441165071147e+28 278588373.124452 7.5093494e+25 314237387.554182 307859287.554182 307780900 512 0.0030561234061259 0
15360 3907.30711038951 53.1430908485237 0.508693932847109 0.0103789524512898 384430425.275076 15693600.6818658 -41.3451851186485 1021.15642848729 313798868.081239 18421193.6716119 -46.8714930023665 1197.89058953966 -3.77441165071147e+28 678978680.894498 7.5093494e+25 314335196.606439 307957096.606439 307780900 512 0.00305846726636877 0
20480 6945.5802864217 125.960914779238 0.678113379337652 0.0184495440550054 384183483.137982 20920322.2578077 -55.115112231099 1020.5004739293 313518985.07837 24550401.973218 -62.4524497966059 1196.25407232652 -3.77441165071147e+28 645175789.765317 7.5093494e+25 314471803.127924 308093703.127924 307780900 512 0.00306169068824793 0
25600 10850.9757641659 245.997591845038 0.847408402330005 0.0288235417552109 383866063.785081 26143206.0206799 -68.8749265581718 1019.65730512457 313159417.62772 30670046.3363458 -77.9967091270719 1194.15525710617 -3.77441165071147e+28 2465034842.76007 7.5093494e+25 314646883.742702 308268783.742702 307780900 512 0.00306573768135817 0
30720 15622.7769557101 425.041982252109 1.01654793563533 0.0414990881548155 383478225.458586 31361293.8057078 -82.6221031290633 1018.627073037 312720376.953682 36777769.4211457 -93.4951633249679 1191.59803988433 -3.77441165071147e+28 1709377078.45528 7.5093494e+25 314860026.590087 308481926.590087 307780900 512 0.00307053899449067 0
35840 21260.1082797136 674.872381017961 1.18550093951535 0.0564739136763078 383020039.323238 36573628.3068247 -96.3541191227956 1017.40996213135 312202120.795841 42871235.8927315 -108.938751972847 1188.58711437672 -3.77441165071147e+28 2568434585.95143 7.5093494e+25 315110734.158368 308732634.158368 307780900 512 0.00307601398580638 0
40960 27761.9353103615 1007.25440846331 1.35423640596588 0.073745336906428 382491589.454204 41779253.2481274 -110.068454297647 1016.00619034521 311604953.136774 48948136.4089721 -124.3184739117 1185.12793340328 -3.77441165071147e+28 2477758522.25742 7.5093494e+25 315398426.643931 309020326.643931 307780900 512 0.00308207272343346 0
46080 35127.0649533617 1433.93890262904 1.52272336399677 0.0933102650034907 381892972.822768 46977213.5551737 -123.762591420291 1014.41600905588 310929223.865527 55006191.3972056 -139.625400369196 1181.22666517454 -3.77441165071147e+28 -950736549.759231 7.5093494e+25 315722445.778711 309344345.778711 307780900 512 0.00308861822726237 0
51200 43354.1456489642 1966.65981393908 1.69093088490769 0.115165194167347 381224299.279835 52166555.5260987 -137.434016694594 1012.63970304221 310175328.371009 61043154.595813 -154.850689194515 1176.89014529477 -3.77441165071147e+28 -142005025.838415 7.5093494e+25 316082059.063081 309703959.063081 307780900 512 0.00309554876307456 0
56320 52441.667601981 2617.13210242976 1.858828087559 0.139306210171974 380485691.537229 57346327.0025217 -151.080220190024 1010.67759044127 309343707.059837 67056816.3409175 -169.985600117745 1172.12582534431 -3.77441165071147e+28 -2140673950.3735 7.5093494e+25 316476464.337343 310098364.337343 307780900 512 0.00310276010558266 0
61440 62387.963038779 3397.04963786634 2.02638414363742 0.165728988960687 379677285.146814 62515577.5402188 -164.698696269618 1008.53002269998 308434844.793729 73045006.5829333 -185.021510889418 1166.94171891456 -3.77441165071147e+28 -752150982.794729 7.5093494e+25 316904794.622944 310526694.622944 307780900 512 0.00311014769651438 0
66560 73191.2064912183 4318.08310306736 2.1935682829155 0.194428797303943 378799228.477408 67673358.5795348 -178.286944017467 1006.1973845217 307449270.242416 79005597.6221305 -199.949934101639 1161.34634595431 -3.77441165071147e+28 -4585643890.22705 7.5093494e+25 317366123.164245 310988023.164245 307780900 512 0.0031176086363592 0
71680 84849.4151075022 5391.87790075706 2.36034979850462 0.225400493519744 377851682.689522 72818723.6155079 -191.842467665658 1003.68009380759 306387555.149196 84936506.5566943 -214.762534448861 1155.34867624974 -3.77441165071147e+28 -2025520352.64092 7.5093494e+25 317859468.603039 311481368.603039 307780900 512 0.00312504346256691 0
76800 97360.4489899037 6630.05206426656 2.52669805210069 0.2586385282566 376834821.707913 77950728.3676823 -205.362777020637 1000.97860159304 305250313.507571 90835697.4408347 -229.451146155205 1148.95807280476 -3.77441165071147e+28 -2021711184.61037 7.5093494e+25 318383800.220876 312005700.220876 307780900 512 0.00313235768166159 0
81920 110722.011559332 8044.19417240387 2.69258247922211 0.294136945339043 375748832.191947 83068430.9495815 -218.845387888924 998.093391978921 304038200.648838 96701183.1542504 -244.007790277042 1142.18423581863 -3.77441165071147e+28 -1228440461.18035 7.5093494e+25 318938043.188276 312559943.188276 307780900 512 0.00313946303689844 0
87040 124931.649946693 9645.86126881304 2.85797259443921 0.331889382675673 374593913.503796 88170892.0378165 -232.287822502157 995.024982057798 302751912.242054 102531026.987622 -258.424691584159 1135.03714787795 -3.77441165071147e+28 -216716587.775479 7.5093494e+25 319521083.764985 313142983.764985 307780900 512 0.00314627850595728 0
92160 139986.755411006 11446.5767861426 3.02283799659467 0.371889073229705 373370277.674449 93257175.0408039 -245.687609941388 991.773921835025 301392183.20926 108323343.951751 -272.694294729409 1127.52702089377 -3.77441165071147e+28 -6410809806.10743 7.5093494e+25 320131774.401157 313753674.401157 307780900 512 0.0031527310341964 0
97280 155884.563784219 13457.8284753428 3.18714837401432 0.414128846051997 372078149.367566 98326346.2670665 -259.042286560605 988.340794144799 299959786.56034 114076301.820437 -286.80927943389 1119.66424522612 -3.77441165071147e+28 -10022223377.6703 7.5093494e+25 320768938.695589 314390838.695589 307780900 512 0.00315875601788535 0
102400 172622.155942684 15691.0663404127 3.3508735097076 0.458601127376528 370717765.841152 103377475.093091 -272.349396409404 984.726214561119 298455532.153164 119788121.919265 -300.762574440508 1111.45934135096 -3.77441165071147e+28 -7852152889.49321 7.5093494e+25 321431376.173561 315053276.173561 307780900 512 0.00316429755850888 0
107520 190196.458305221 18157.7005789147 3.51398328655713 0.505297941778301 369289376.907076 108409634.130717 -285.606491654793 980.930831303672 296880265.385931 125457079.674012 -314.547370021398 1102.9229143401 -3.77441165071147e+28 -5087275257.38895 7.50934939999999e+25 322117866.853325 315739766.853325 307780900 512 0.00316930851376513 0
112640 208604.243357738 20869.0995285784 3.67644769249679 0.554210913393634 367793244.888436 113421899.394032 -298.811133002039 976.955325138658 295234865.829544 131081504.933632 -328.157128861784 1094.06561134699 -3.77441165071147e+28 2304122303.7045 7.50934939999999e+25 322827175.576593 316449075.576593 307780900 512 0.00317375037347276 0
117760 227842.130204316 23836.5876203113 3.83823682567759 0.605331267202801 366229644.574763 118413350.465744 -311.960890114547 972.800409274532 293520245.808729 136659782.08353 -341.585595182624 1084.89808221983 -3.77441165071147e+28 1465888406.15558 7.50934939999999e+25 323558056.084357 317179956.084357 307780900 512 0.00317759298952848 0
