# t x0 y0 vx0 vy0 x1 y1 vx1 vy1 x2 y2 vx2 vy2 E Px Py r_probe_earth altitude_probe perigee dt_used a_probe P_drag
0 0 0 0 0 384748000 0 0 1022 314159000 0 0 1200 -3.77441165071147e+28 0 7.5093494e+25 314159000 307780900 307780900 8 0.00305422308031494 0
80 0.106007075449273 7.50893095580054e-06 0.00265017687633891 2.81584910432204e-07 384747991.384049 81759.9993896956 -0.21539878200656 1021.99997711359 314158990.226486 95999.9984719219 -0.244337840577341 1199.99994269707 -3.77441165071147e+28 -2103114.41713653 7.5093494e+25 314159004.788211 307780904.788211 307780900 8 0.00305422319699222 0
160 0.424028297048492 6.00714472525512e-05 0.00530035363396281 1.12633962942122e-06 384747965.536195 163519.995117565 -0.430797554364303 1021.99990845434 314158960.905946 191999.987775376 -0.488675646067551 1199.99977078831 -3.77441165071147e+28 -6115093.03372803 7.5093494e+25 314159019.15284 307780919.15284 307780900 8 0.00305422354702349 0
240 0.954063650551855 0.000202741132261987 0.00795053015415669 2.53426412004428e-06 384747922.456441 245279.983521782 -0.646196307424415 1021.99979402227 314158912.038385 287999.958741899 -0.733013381383507 1199.9994842738 -3.77441165071147e+28 3121193.8032227 7.5093494e+25 314159043.09388 307780943.09388 307780900 8 0.00305422413040725 0
320 1.69611311221636 0.000480571565417415 0.0106007063182056 4.50535832076342e-06 384747862.144787 327039.96094052 -0.861595031538082 1021.99963381739 314158843.623808 383999.902203035 -0.977351011438101 1199.99908315368 -3.77441165071147e+28 2054147.69417718 7.5093494e+25 314159076.611316 307780976.611316 307780900 8 0.00305422494714097 0
400 2.65017664880181 0.000938616320244496 0.0132508820073944 7.0396221454255e-06 384747784.601236 408799.923711955 -1.07699371705649 1021.99942783969 314158755.662226 479999.808990342 -1.22168850114425 1199.99856742812 -3.77441165071147e+28 10057054.9379343 7.5093494e+25 314159119.705129 307781019.705129 307780900 8 0.00305422599722107 0
480 3.81625421757081 0.00162192896239204 0.0159010571030084 1.01370554832622e-05 384747689.825793 490559.868174262 -1.29239235433082 1021.99917608918 314158648.153652 575999.669935395 -1.4660258154149 1199.99793709737 -3.77441165071148e+28 3946703.20369993 7.5093494e+25 314159172.375294 307781072.375294 307780900 8 0.00305422728064301 0
560 5.19434576628875 0.00257556304766276 0.0185512314863324 1.37976581988901e-05 384747577.818461 572319.790665616 -1.50779093371228 1021.99887856588 314158521.098102 671999.475869791 -1.71036291916303 1199.99719216172 -3.77441165071148e+28 24342626.3638381 7.5093494e+25 314159234.62178 307781134.62178 307780900 8 0.00305422879740118 0
640 6.78445123322386 0.00384457212004413 0.0212014050386516 1.80214301323104e-05 384747448.579246 654079.687524195 -1.72318944555204 1021.9985352698 314158374.495592 767999.21762515 -1.95469977730168 1199.99633262152 -3.77441165071148e+28 14897418.8021006 7.5093494e+25 314159306.44455 307781206.44455 307780900 8 0.003054230547489 0
720 8.58657054714716 0.00547400970973907 0.0238515776412512 2.28083710989094e-05 384747302.108152 735839.555088177 -1.93858788020132 1021.99814620096 314158208.346145 863998.886033123 -2.19903635474393 1199.99535847717 -3.77441165071147e+28 25933550.2332445 7.5093494e+25 314159387.843563 307781287.843563 307780900 8 0.00305423253089884 0
800 10.6007036273325 0.00750892933119684 0.0265017491754163 2.8158480889458e-05 384747138.405187 817599.389695742 -2.15398622801129 1021.99771135937 314158022.649784 959998.471925397 -2.44337261640293 1199.99426972911 -3.77441165071147e+28 15889041.0865728 7.5093494e+25 314159478.818771 307781378.818771 307780900 8 0.00305423474762207 0
880 12.8268503835564 0.00999438448114373 0.029151919522432 3.40717592701123e-05 384746957.470358 899359.18768507 -2.36938447933318 1021.99723074504 314157817.406535 1055997.9661337 -2.6877085271919 1199.99306637785 -3.77441165071147e+28 14007132.3027764 7.5093494e+25 314159579.37012 307781479.37012 307780900 8 0.00305423719764904 0
960 15.2650107160986 0.0129754286366139 0.0318020885635838 4.05482059824129e-05 384746759.303673 981118.945394344 -2.58478262451818 1021.99670435801 314157592.61643 1151997.35948978 -2.93204405202413 1199.99174842396 -3.77441165071148e+28 93712521.7927859 7.5093494e+25 314159689.497553 307781589.497553 307780900 8 0.00305423988096909 0
1040 17.9151845157411 0.0164971152529803 0.0344522561801568 4.75878207432853e-05 384746543.905141 1062878.65916175 -2.8001806539175 1021.9961321983 314157348.279498 1247996.64282547 -3.17637915581301 1199.99031586804 -3.77441165071147e+28 38453178.1295424 7.5093494e+25 314159809.201005 307781709.201005 307780900 8 0.00305424279757055 0
1120 20.7773716637692 0.020604497761985 0.0371024222534364 5.51906032450402e-05 384746311.274772 1144638.32532547 -3.01557855788236 1021.99551426593 314157084.395777 1343995.80697263 -3.420713803472 1199.98876871076 -3.77441165071147e+28 -94342939.3469313 7.5093494e+25 314159938.480406 307781838.480406 307780900 8 0.00305424594744073 0
1200 23.8515720319707 0.0253426295697706 0.0397525866647082 6.33565531553729e-05 384746061.412576 1226397.94022369 -3.23097632676399 1021.99485056092 314156800.965303 1439994.84276318 -3.66504795991468 1199.98710695284 -3.77441165071147e+28 63058818.85401 7.5093494e+25 314160077.33568 307781977.33568 307780900 8 0.0030542493305659 0
1280 27.1377854826365 0.0307565640549108 0.0424027492952576 7.20856701173637e-05 384745794.318564 1308157.50019461 -3.4463739509136 1021.99414108331 314156497.988117 1535993.74102909 -3.90938159005473 1199.98533059505 -3.77441165071147e+28 27231920.1634915 7.5093494e+25 314160225.766747 307782125.766747 307780900 8 0.00305425294693136 0
1360 30.6360118685603 0.0368913545664407 0.0450529100263701 8.13779537494778e-05 384745509.992748 1389917.00157642 -3.66177142068242 1021.99338583312 314156175.464263 1631992.49260241 -4.15371465880595 1199.98343963821 -3.77441165071147e+28 23089260.5240261 7.5093494e+25 314160383.773519 307782283.773519 307780900 8 0.00305425679652136 0
1440 34.3462510330384 0.0437920544218884 0.0477030687393315 9.12334036455653e-05 384745208.435141 1471676.44070731 -3.87716872642171 1021.9925848104 314155833.393788 1727991.08831525 -4.39804713108226 1199.9814340832 -3.77441165071147e+28 23741884.1793718 7.5093494e+25 314160551.355905 307782451.355905 307780900 8 0.00305426087931916 0
1520 38.2685028098702 0.0515037169053052 0.0503532253154275 0.000101652019374861 384744889.645756 1553435.81392548 -4.09256585848269 1021.99173801516 314155471.776739 1823989.5189998 -4.64237897179771 1199.97931393095 -3.77441165071147e+28 117749557.418838 7.5093494e+25 314160728.513806 307782628.513806 307780900 8 0.00305426519530698 0
1600 42.402767023358 0.0600713952652968 0.0530033796359439 0.000112633800481986 384744553.624608 1635195.11756914 -4.30796280721664 1021.99084544747 314155090.61317 1919987.77548831 -4.88671014586651 1199.97707918245 -3.77441165071147e+28 174500537.705131 7.5093494e+25 314160915.24712 307782815.24712 307780900 8 0.00305426974446605 0
1680 46.7490434883068 0.0695401427130537 0.0556535315821666 0.000124178746486944 384744200.371712 1716954.34797648 -4.52335956297479 1021.98990710734 314154689.903135 2015985.84861312 -5.13104061820298 1199.97472983874 -3.77441165071147e+28 309353176.035123 7.5093494e+25 314161111.555736 307783011.555736 307780900 8 0.00305427452677656 0
1760 51.3073320100245 0.0799550124203824 0.0583036810353817 0.000136286856885126 384743829.887084 1798713.50148572 -4.73875611610843 1021.98892299482 314154269.646691 2111983.72920666 -5.37537035372162 1199.9722659009 -3.77441165071147e+28 294441566.985398 7.5093494e+25 314161317.439541 307783217.439541 307780900 8 0.00305427954221772 0
1840 56.0776323843219 0.0913610575177358 0.0609538278768753 0.000148958131147306 384743442.170739 1880472.57443506 -4.95415245696884 1021.98789310996 314153829.843899 2207981.40810145 -5.6196993173371 1199.96968737007 -3.77441165071147e+28 211282406.155317 7.5093494e+25 314161532.898415 307783432.898415 307780900 8 0.00305428479076769 0
1920 61.0599443975129 0.103803331092244 0.0636039719879336 0.000162192568719646 384743037.222696 1962231.56316271 -5.16954857590728 1021.9868174528 314153370.494822 2303978.87613009 -5.86402747396423 1199.96699424746 -3.77441165071147e+28 163570528.212568 7.5093494e+25 314161757.93223 307783657.93223 307780900 8 0.00305429027240364 0
2000 66.254267826414 0.117326886185746 0.066254113249843 0.000175990169023689 384742615.042973 2043990.46400691 -5.38494446327507 1021.98569602339 314152891.599526 2399976.1241253 -6.10835478851803 1199.96418653432 -3.77441165071148e+28 141113000.637472 7.5093494e+25 314161992.540857 307783892.540857 307780900 8 0.00305429598710172 0
2080 71.6606024383448 0.13197677579282 0.06890425154389 0.000190350931456366 384742175.631589 2125749.27330587 -5.60034010942351 1021.98452882177 314152393.158079 2495973.14291987 -6.35268122591369 1199.96126423194 -3.77441165071147e+28 -43583383.7656308 7.5093494e+25 314162236.724157 307784136.724157 307780900 8 0.00305430193483708 0
