# t x0 y0 vx0 vy0 x1 y1 vx1 vy1 x2 y2 vx2 vy2 E Px Py r_probe_earth altitude_probe perigee dt_used a_probe P_drag
0 0 0 0 0 384748000 0 0 1022 314159000 0 0 1200 -3.77441165071147e+28 0 7.5093494e+25 314159000 307780900 307780900 2048 0.00305422308031494 0
20480 6945.58028642386 125.96091663186 0.67811337934197 0.0184495440550109 384183483.137982 20920322.2576572 -55.1151122314499 1020.5004739293 313518985.078413 24550401.9716382 -62.4524497890274 1196.25407232551 -3.7744116507115e+28 -739401468.097388 7.5093494e+25 314471803.127844 308093703.127844 307780900 2048 0.0030616906882426 0
40960 27761.9353103538 1007.25441216349 1.35423640597459 0.0737453369064126 382491589.454204 41779253.2478267 -110.068454298355 1016.00619034521 311604953.136959 48948136.4059169 -124.318473897758 1185.12793339978 -3.77441165071152e+28 169347560.339476 7.5093494e+25 315398426.643638 309020326.643638 307780900 2048 0.00308207272341382 0
61440 62387.963038752 3397.04964340335 2.02638414365067 0.165728988960644 379677285.146816 62515577.5397688 -164.698696270694 1008.53002269999 308434844.794143 73045006.5785858 -185.021510871095 1166.94171890792 -3.77441165071155e+28 1266225181.2983 7.5093494e+25 316904794.622344 310526694.622344 307780900 2048 0.00311014769647705 0
81920 110722.01155928 8044.19417976185 2.6925824792401 0.294136945339002 375748832.191951 83068430.9489835 -218.845387890386 998.093391978925 304038200.649551 96701183.1488309 -244.007790256467 1142.18423580908 -3.77441165071157e+28 1740043709.60875 7.5093494e+25 318938043.18731 312559943.18731 307780900 2048 0.00313946303684583 0
102400 172622.155942608 15691.0663495716 3.3508735097306 0.458601127376562 370717765.841158 103377475.092347 -272.349396411273 984.726214561117 298455532.154219 119788121.912993 -300.762574419481 1111.45934133933 -3.77441165071159e+28 2595995619.19635 7.5093494e+25 321431376.172199 315053276.172199 307780900 2048 0.00316429755844703 0
122880 247906.585144629 27071.4433488727 3.99932089964916 0.658649830375243 364598863.175093 123383070.662119 -325.053342034988 968.466829252679 291737348.942576 142190349.958392 -354.826801984572 1075.43094328808 -3.77441165071161e+28 -2206714041.10377 7.5093494e+25 324309254.823219 317931154.823219 307780900 2048 0.00318081418856796 0
143360 336354.098240214 42908.3903571619 4.63601519886335 0.893708877238619 357410102.771064 143026448.99257 -376.802030126597 949.361903522612 283942876.445715 163806192.809654 -405.810048101808 1034.77568275374 -3.77441165071163e+28 -7565478950.50295 7.5093494e+25 327492095.846334 321113995.846334 307780900 2048 0.00318729210044196 0
163840 437704.709073 63912.1758955366 5.25907911057052 1.16310302747157 349172615.558829 162249881.49369 -427.442879381673 927.466318983353 275138572.737859 184547650.691984 -453.396851778669 990.147473352103 -3.77441165071165e+28 1185762815.61521 7.5093494e+25 330900010.082564 324521910.082564 307780900 2048 0.00318376199670421 0
174080 493126.998154902 76569.5869369579 5.56492309079603 1.31043752338471 344668050.723613 171686403.396063 -452.301001649957 915.491393365904 270380100.631467 194566554.782206 -475.838372584772 966.535677514836 -3.77441165071166e+28 -2944294610.32599 7.5093494e+25 332663993.96118 326285893.96118 307780900 2048 0.00317858986013216 0
